Gold star staff We chose Artrip Hotel because of the close proximity to the train station and the positive reviews on Trip Advisor. We were in no way disappointed! The staff could not have been more helpful and friendly, in a very natural and caring way. We found the hotel well positioned to walk to the top attractions (Reina Sofia just around the corner), in an interesting area with a not-too-tourist feel, which we really liked. We very much enjoyed our stay at Artrip and Madrid. 	1
Big plusses and a few misses - hesitant to criticize So the good - easy to get to from the train station, lovely, lovely staff - helpful, friendly attentive, eager to please and really there are just times when someone having a good grasp on your native tongue (in this case English) makes this easier and helpful. Most of our trip we had been in an apartment or two separate rooms (two adults and two young teens) but for this one night in Madrid we opted for a family room. A good value at 121â¬ (15% discount for booking early) - one big bed and two twins. The location is good in that it isn't far to walk to many locations. The owner and other woman working were more than helpful about helping us plan for our one afternoon in Madrid. 	1
Warm Welcoming Boutique Hotel We stayed at the Artrip Hotel 26-31 May and thoroughly enjoyed our stay. Thank you so much Miguel and your wonderful staff for making our visit to Madrid so memorable.	1
Had a fantastic stay, will definitely return. Lovely hotel, lovely staff! We arrived at the hotel after a long delay (10hours!) at the airport - which wasn't a great start to our holiday. However once we arrived at Artrip and were met by the lovely reception staff, we soon forgot about our earlier travel issues. Staff are always so friendly, chatty and helpful - they have a wealth of info about the surrounding areas and sights of the city, and they are more than happy to share and recommend. Reception is also open 24hrs so there is always someone there should you need anything at all.	1
Friendly, clean, and convenient We were very impressed with the Artrip Hotel. The staff were extremely friendly and helpful, especially Sarah. Miguel, the owner, arranged a last minute dinner reservation at his restaurant, which we also enjoyed!	1
Great stay with friendly staff Had four great nights at this boutique hotel. Very accommodating staff including owner Miguel, Jasmina and James. Great area to watch locals rather than tourists. Close to metro and main station. Would definitely stay here again. 	1
Great Small Hotel in Madrid A very warm place with a friendly and excellent staff. When we arrived to the Hotel the owner Miguel opened the door to us and helped us with our luggage. My family enjoyed our stay... This Hotel is GREAT!!! Fantastic accommodation and very clean.... In front of the Hotel is a Laundromat, Metro Station is very close and a Supermarket in front of the Metro.The Shower is awesome! If you have plans to visit Madrid, you need to consider ARTRIP Hotel as an option. We really enjoyed this place!!!!!!! 100% recomended!! Thanks Miguel and Staff for all your attentions!!! 	1
Great boutique hotel Stayed with family for three nights in June 2014. The staff was exceedingly helpful and welcoming. The hotel itself has a very clean and modern look/feel. Coffee/tea available 24/7. Breakfast was excellent by Spanish standards (fresh fruit and pastries), deli meats, cereals and breads and was avaialble until 11:30. We had two rooms, both of which were extremely clean. We had a Junior Suite which was great, although there are no windows that open (except for the shower) and feels a bit stuffy without the AC (there was no fan as in the other rooms). As others have indicated, showers were strong. The Hotel is an outstanding value.	1
Great place to stay I have travelled to Madrid 2 or 3 times a year for 25 years+ and have stayed in a wide range of places, depending on area, price and reviews. These have ranged from utter misery to 'top class'.	1
A personal touch We stopped off in Madrid as part of our honeymoon. We had a terrible time finding our rental car drop off at Atocha station and we walked in tired and a little miserable. Fortunately the staff here help to brighten your day. We were surprised and extremely grateful to find a bottle of red wine and a meat platter with an "enjoy your honeymoon" note. This is above and beyond for a non 5 or 6 star hotel and clearly helps contribute to their high ranking. A special thank you to all the staff that gave great tips and had an infectious enthusiasm. The only downside was our room was never cleaned but I'm sure that was just a small oversight. We'd recommend this on the extremely high level of service and their personal touch. 	1
